Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
16,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,84000,36000
17,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,93000,33000
18,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,105000,39000
19,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,124000,42000
20,Income Quantiles,Household,Couple without children,Equivalised Disposable Income,Equivalised Disposable Income,207000,52000
1,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,18000,4000
2,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,26000,7000
3,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
4,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,32000,6000
5,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,35000,7000
6,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,38000,11000
7,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,41000,12000
8,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,45000,14000
9,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,49000,15000
10,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,53000,14000
11,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,58000,14000
12,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,62000,12000
13,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,67000,11000
14,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,72000,8000
15,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,78000,9000
16,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,84000,8000
17,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,93000,6000
18,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,105000,4000
19,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,123000,3000
20,Income Quantiles,Household,Multiple families with children,Equivalised Disposable Income,Equivalised Disposable Income,S,S
1,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,15000,12000
